Section,Metric,Value,Limit,Utilization,Status
"Allocation","Singapore Government Securities","35.0%","20–60%","58.3%","OK"
"Allocation","MAS Bills","8.0%","0–40%","20.0%","OK"
"Allocation","Investment Grade Corporate Bonds","33.0%","10–50%","66.0%","OK"
"Allocation","High Yield Bonds","9.0%","0–15%","60.0%","OK"
"Allocation","Foreign Currency Bonds (hedged)","5.0%","0–20%","25.0%","OK"
"Allocation","Structured Credit (ABS/MBS)","6.0%","0–10%","60.0%","OK"
"Allocation","Cash & Cash Equivalents","4.0%","min 5%","n/a","BREACH"
"Aggregate","Aggregate non-IG exposure","15.0%","max 20%","75.0%","OK"
"Concentration","Largest single corporate issuer","8.0%","max 8%","100.0%","AT LIMIT"
"Concentration","Largest GRE issuer","7.0%","max 12%","58.3%","OK"
"Liquidity","Liquid assets ratio","47.0%","min 25%","188.0%","OK"
"Market risk","Portfolio modified duration","3.88 yrs","2.0–6.5 yrs","n/a","OK"
"Market risk","Portfolio DV01","SGD 38,790 / bp","max 85,000","45.6%","OK"
