Section,Metric,Value,Limit,Utilization,Status
"Allocation","Singapore Government Securities","35.0%","20–60%","5833 bps","OK"
"Allocation","MAS Bills","8.0%","0–40%","2000 bps","OK"
"Allocation","Investment Grade Corporate Bonds","33.0%","10–50%","6600 bps","OK"
"Allocation","High Yield Bonds","9.0%","0–15%","6000 bps","OK"
"Allocation","Foreign Currency Bonds (hedged)","5.0%","0–20%","2500 bps","OK"
"Allocation","Structured Credit (ABS/MBS)","6.0%","0–10%","6000 bps","OK"
"Allocation","Cash & Cash Equivalents","4.0%","min 5%","n/a","BREACH"
"Aggregate","Aggregate non-IG exposure","21.0%","max 20%","10500 bps","BREACH"
"Concentration","Largest single corporate issuer","8.0%","max 8%","10000 bps","AT LIMIT"
"Concentration","Largest GRE issuer","13.0%","max 12%","10833 bps","BREACH"
"Liquidity","Liquid assets ratio","47.0%","min 25%","18800 bps","OK"
"Market risk","Portfolio modified duration","3.88 yrs","2.0–6.5 yrs","n/a","OK"
"Market risk","Portfolio DV01","SGD 38,790 / bp","max 85,000","4563 bps","OK"
